,ts_code,trade_time,open,close,high,low,vol,amount,oi
221,IF2309.CFX,2023-08-25 14:41:00,3706.0,3706.0,3707.4,3705.2,294.0,326922180.0,185037.0
222,IF2309.CFX,2023-08-25 14:42:00,3707.0,3708.8,3710.2,3706.6,493.0,548528700.0,185103.0
223,IF2309.CFX,2023-08-25 14:43:00,3708.6,3709.0,3709.6,3708.0,183.0,203603170.0,185141.0
224,IF2309.CFX,2023-08-25 14:44:00,3708.8,3713.4,3713.8,3708.8,313.0,348497200.0,185219.0
225,IF2309.CFX,2023-08-25 14:45:00,3713.4,3714.4,3715.0,3711.0,335.0,373200200.0,185309.0
226,IF2309.CFX,2023-08-25 14:46:00,3714.8,3714.0,3716.8,3713.0,480.0,534958700.0,185464.0
227,IF2309.CFX,2023-08-25 14:47:00,3713.8,3715.0,3715.6,3712.0,253.0,281836670.0,185596.0
228,IF2309.CFX,2023-08-25 14:48:00,3715.6,3715.2,3715.6,3713.8,220.0,245170690.0,185671.0
229,IF2309.CFX,2023-08-25 14:49:00,3715.2,3716.8,3717.4,3715.2,441.0,491710140.0,185777.0
230,IF2309.CFX,2023-08-25 14:50:00,3717.0,3718.4,3719.4,3717.0,557.0,621314240.0,185825.0
231,IF2309.CFX,2023-08-25 14:51:00,3718.6,3722.4,3722.6,3718.6,769.0,858374200.0,185952.0
