date,code,open,close,high,low,volume,amount,amplitude,change-amount,turn
2023-09-12,3140.34,3137.06,3147.51,3134.32,234672051,281897501760.6,0.42,-0.18,-5.72,0.5
2023-09-13,3137.77,3123.07,3143.76,3106.97,249701038,282015557210.7,1.17,-0.45,-13.99,0.53
2023-09-14,3124.85,3126.55,3135.03,3111.86,263990138,281641855533.1,0.74,0.11,3.48,0.56
2023-09-15,3133.59,3117.74,3141.96,3107.45,292026365,326091455871.6,1.1,-0.28,-8.81,0.62
2023-09-18,3110.44,3125.93,3128.7,3098.5,259444257,299644725427.4,0.97,0.26,8.19,0.55
2023-09-19,3123.99,3124.96,3131.13,3113.53,253652761,274062664356.7,0.56,-0.03,-0.97,0.54
2023-09-20,3118.67,3108.57,3122.13,3108.16,228124462,243019998657.4,0.45,-0.52,-16.39,0.48
2023-09-21,3103.18,3084.7,3113.49,3084.7,228659100,243536277536.6,0.93,-0.77,-23.87,0.48
2023-09-22,3084.76,3132.43,3132.56,3078.8,285978351,321443778943.2,1.74,1.55,47.73,0.6
2023-09-25,3131.21,3115.61,3131.21,3112.15,258071885,294635829637.9,0.61,-0.54,-16.82,0.54
2023-09-26,3114.02,3102.27,3120.29,3102.27,222644313,270006131018.9,0.58,-0.43,-13.34,0.47
2023-09-27,3104.04,3107.32,3125.45,3103.84,240495830,293421022407.0,0.7,0.16,5.05,0.51
2023-09-28,3117.75,3110.48,3121.84,3105.94,236329981,288396222754.4,0.51,0.1,3.16,0.5
2023-10-09,3100.0,3096.92,3103.36,3072.64,264422205,302662162123.8,0.99,-0.44,-13.56,0.56
2023-10-10,3104.37,3075.24,3109.98,3073.19,255327379,293653291716.5,1.19,-0.7,-21.68,0.54
2023-10-11,3085.7,3078.96,3095.66,3071.94,259918692,326562386170.6,0.77,0.12,3.72,0.55
2023-10-12,3101.71,3107.9,3109.99,3092.18,274827998,325865894368.3,0.58,0.94,28.94,0.58
2023-10-13,3092.0,3088.1,3094.92,3080.55,255085235,309538085324.9,0.46,-0.64,-19.8,0.54
2023-10-16,3091.06,3073.81,3091.13,3063.69,263882363,314394203029.7,0.89,-0.46,-14.29,0.56
2023-10-17,3076.43,3083.5,3084.07,3064.89,259019588,300026228452.2,0.62,0.32,9.69,0.55
2023-10-18,3076.58,3058.71,3076.58,3057.06,268647155,310306035777.2,0.63,-0.8,-24.79,0.57
2023-10-19,3043.2,3005.39,3043.2,3004.77,304038910,355069176976.4,1.26,-1.74,-53.32,0.64
2023-10-20,2995.36,2983.06,3006.27,2977.17,267113594,307388393327.2,0.97,-0.74,-22.33,0.56
2023-10-23,2969.79,2939.29,2973.66,2923.51,278904128,304028962456.0,1.68,-1.47,-43.77,0.59
2023-10-24,2944.31,2962.24,2964.76,2929.09,310985389,339902176877.6,1.21,0.78,22.95,0.66
2023-10-25,2986.41,2974.11,2993.3,2972.42,332392004,362846635549.2,0.7,0.4,11.87,0.7
2023-10-26,2960.1,2988.3,2990.33,2956.01,291814511,332258828044.6,1.15,0.48,14.19,0.62
2023-10-27,2978.4,3017.78,3029.21,2974.88,321803717,385692318100.3,1.82,0.99,29.48,0.68
2023-10-30,3009.61,3021.55,3028.26,3002.35,360604238,439587974769.6,0.86,0.12,3.77,0.76
2023-10-31,3019.65,3018.77,3023.0,3006.61,319859967,386277226427.2,0.54,-0.09,-2.78,0.68
2023-11-01,3038.18,3023.08,3038.33,3013.93,280110445,347121456482.9,0.81,0.14,4.31,0.59
2023-11-02,3028.66,3009.41,3038.64,3009.12,268794581,311936400777.8,0.98,-0.45,-13.67,0.57
2023-11-03,3012.47,3030.8,3040.98,3012.47,268486347,329300477500.6,0.95,0.71,21.39,0.57
2023-11-06,3047.13,3058.41,3058.99,3037.69,372949630,447638159948.7,0.7,0.91,27.61,0.79
2023-11-07,3052.92,3057.27,3064.58,3042.47,326853455,401065573918.6,0.72,-0.04,-1.14,0.69
2023-11-08,3051.15,3052.37,3062.99,3037.29,335677834,415289260078.3,0.84,-0.16,-4.9,0.71
2023-11-09,3047.65,3053.28,3063.47,3045.83,315621764,388556747091.5,0.58,0.03,0.91,0.67
2023-11-10,3043.56,3038.97,3044.0,3027.09,285546497,346913084540.2,0.55,-0.47,-14.31,0.6
2023-11-13,3044.03,3046.53,3048.62,3028.17,290430588,344120017221.8,0.67,0.25,7.56,0.61
2023-11-14,3046.82,3056.07,3059.53,3044.43,294844733,358249840157.5,0.5,0.31,9.54,0.62
2023-11-15,3077.03,3072.83,3080.13,3064.35,304250107,389515977974.7,0.52,0.55,16.76,0.64
2023-11-16,3066.86,3050.93,3071.45,3050.93,271079460,329364382654.0,0.67,-0.71,-21.9,0.57
2023-11-17,3043.62,3054.37,3055.86,3033.75,267606393,328568598825.4,0.72,0.11,3.44,0.56
2023-11-20,3056.93,3068.32,3072.51,3043.51,287556998,367109310168.3,0.95,0.46,13.95,0.61
2023-11-21,3074.83,3067.93,3089.77,3063.34,330733102,391558034861.5,0.86,-0.01,-0.39,0.7
2023-11-22,3060.5,3043.61,3067.96,3043.61,289056490,330385482669.4,0.79,-0.79,-24.32,0.61
2023-11-23,3041.68,3061.86,3062.87,3034.3,276592059,315612515641.2,0.94,0.6,18.25,0.58
2023-11-24,3060.33,3040.97,3060.33,3037.2,287788413,311509355931.7,0.76,-0.68,-20.89,0.61
2023-11-27,3038.19,3031.7,3038.36,3015.01,310517868,350705835457.9,0.77,-0.3,-9.27,0.66
2023-11-28,3028.6,3038.55,3039.69,3020.23,268920746,317303697729.3,0.64,0.23,6.85,0.57
2023-11-29,3038.46,3021.69,3038.98,3017.66,277956448,322141206078.7,0.7,-0.55,-16.86,0.59
2023-11-30,3021.1,3029.67,3030.91,3013.77,282945357,326755696099.9,0.57,0.26,7.98,0.6
2023-12-01,3027.35,3031.64,3035.76,3010.23,286089700,335547176425.7,0.84,0.07,1.97,0.6
2023-12-04,3033.3,3022.91,3038.98,3022.35,288162053,344279695966.6,0.55,-0.29,-8.73,0.61
2023-12-05,3017.01,2972.3,3017.01,2972.3,293943278,340454488082.6,1.48,-1.67,-50.61,0.62
2023-12-06,2966.95,2968.93,2985.31,2959.6,294104187,336218906356.4,0.86,-0.11,-3.37,0.62
2023-12-07,2965.65,2966.21,2976.01,2949.14,296243687,348039623969.4,0.91,-0.09,-2.72,0.63
2023-12-08,2965.39,2969.56,2980.83,2962.33,369138705,423492311947.3,0.62,0.11,3.35,0.78
2023-12-11,2956.29,2991.44,2995.67,2930.42,360216344,405351583216.2,2.2,0.74,21.88,0.76
2023-12-12,2986.33,3003.44,3003.75,2980.45,287638762,333170576418.7,0.78,0.4,12.0,0.61
2023-12-13,2997.34,2968.76,2997.34,2968.76,282754098,331476614720.7,0.95,-1.15,-34.68,0.6
2023-12-14,2979.7,2958.99,2986.18,2958.07,271457650,312658124559.8,0.95,-0.33,-9.77,0.57
2023-12-15,2966.3,2942.56,2976.31,2940.03,289327642,322083690788.2,1.23,-0.56,-16.43,0.61
2023-12-18,2936.58,2930.8,2951.15,2924.33,293086999,304915892999.5,0.91,-0.4,-11.76,0.62
2023-12-19,2928.76,2932.39,2940.5,2914.13,265926980,283234126181.9,0.9,0.05,1.59,0.56
2023-12-20,2932.12,2902.11,2937.1,2902.04,265562454,290838402139.4,1.2,-1.03,-30.28,0.56
2023-12-21,2892.02,2918.71,2924.26,2882.02,282541827,315943775543.6,1.46,0.57,16.6,0.6
2023-12-22,2919.29,2914.78,2935.7,2906.51,296628367,327498019580.5,1.0,-0.13,-3.93,0.63
2023-12-25,2909.88,2918.81,2920.63,2903.99,229814178,261487251019.0,0.57,0.14,4.03,0.48
2023-12-26,2917.97,2898.88,2917.97,2892.84,228140855,260220552772.7,0.86,-0.68,-19.93,0.48
2023-12-27,2900.15,2914.61,2917.96,2890.17,247900882,279048608009.4,0.96,0.54,15.73,0.52
2023-12-28,2913.11,2954.7,2961.65,2909.39,339213116,392449073493.3,1.79,1.38,40.09,0.72
2023-12-29,2950.84,2974.93,2975.03,2950.02,290672687,349002967266.4,0.85,0.68,20.23,0.61
